Source,Target,Type
5,273,Undirected
5,274,Undirected
5,275,Undirected
5,276,Undirected
2,277,Undirected
2,278,Undirected
9,279,Undirected
8,280,Undirected
7,96,Undirected
2,281,Undirected
9,109,Undirected
1,282,Undirected
1,283,Undirected
1,284,Undirected
1,285,Undirected
9,286,Undirected
4,287,Undirected
9,58,Undirected
7,71,Undirected
8,288,Undirected
7,289,Undirected
2,290,Undirected
2,291,Undirected
4,292,Undirected
5,293,Undirected
5,294,Undirected
5,295,Undirected
8,296,Undirected
2,297,Undirected
2,298,Undirected
10,299,Undirected
9,300,Undirected
5,301,Undirected
5,302,Undirected
9,86,Undirected
9,303,Undirected
4,304,Undirected
2,305,Undirected
4,306,Undirected
4,307,Undirected
4,308,Undirected
4,309,Undirected
4,310,Undirected
2,67,Undirected
2,311,Undirected
2,312,Undirected
2,313,Undirected
11,314,Undirected
8,315,Undirected
11,316,Undirected
11,317,Undirected
7,318,Undirected
7,319,Undirected
11,320,Undirected
7,321,Undirected
7,322,Undirected
2,323,Undirected
7,324,Undirected
8,325,Undirected
8,326,Undirected
4,327,Undirected
2,328,Undirected
7,329,Undirected
7,330,Undirected
7,331,Undirected
2,332,Undirected
2,296,Undirected
8,333,Undirected
7,334,Undirected
11,335,Undirected
12,336,Undirected
12,337,Undirected
7,338,Undirected
10,112,Undirected
11,339,Undirected
8,340,Undirected
5,341,Undirected
5,342,Undirected
5,343,Undirected
5,344,Undirected
5,345,Undirected
7,346,Undirected
8,347,Undirected
2,348,Undirected
7,226,Undirected
9,95,Undirected
9,349,Undirected
8,350,Undirected
7,351,Undirected
2,352,Undirected
2,353,Undirected
9,354,Undirected
9,355,Undirected
9,356,Undirected
8,357,Undirected
8,358,Undirected
5,359,Undirected
5,360,Undirected
2,166,Undirected
5,361,Undirected
5,362,Undirected
5,363,Undirected
2,95,Undirected
8,364,Undirected
2,365,Undirected
9,119,Undirected
9,366,Undirected
9,102,Undirected
10,322,Undirected
8,367,Undirected
2,368,Undirected
12,369,Undirected
8,370,Undirected
9,371,Undirected
9,372,Undirected
9,373,Undirected
9,374,Undirected
2,375,Undirected
8,376,Undirected
8,377,Undirected
8,378,Undirected
8,379,Undirected
2,380,Undirected
4,381,Undirected
8,382,Undirected
8,383,Undirected
11,384,Undirected
9,385,Undirected
9,386,Undirected
2,387,Undirected
7,388,Undirected
4,389,Undirected
4,390,Undirected
2,391,Undirected
2,392,Undirected
2,393,Undirected
2,394,Undirected
10,162,Undirected
2,395,Undirected
11,396,Undirected
11,397,Undirected
8,398,Undirected
9,399,Undirected
9,400,Undirected
9,401,Undirected
9,402,Undirected
9,403,Undirected
2,404,Undirected
6,405,Undirected
6,406,Undirected
6,407,Undirected
2,61,Undirected
2,408,Undirected
12,409,Undirected
4,410,Undirected
12,411,Undirected
12,412,Undirected
11,413,Undirected
9,182,Undirected
4,414,Undirected
4,415,Undirected
4,416,Undirected
2,417,Undirected
2,418,Undirected
9,156,Undirected
9,419,Undirected
9,420,Undirected
9,197,Undirected
9,421,Undirected
2,422,Undirected
2,423,Undirected
12,424,Undirected
7,425,Undirected
12,426,Undirected
10,427,Undirected
9,428,Undirected
9,429,Undirected
12,430,Undirected
12,431,Undirected
8,432,Undirected
4,433,Undirected
4,434,Undirected
4,435,Undirected
4,436,Undirected
4,437,Undirected
4,438,Undirected
12,439,Undirected
2,440,Undirected
12,441,Undirected
4,442,Undirected
8,443,Undirected
12,444,Undirected
11,421,Undirected
2,84,Undirected
6,445,Undirected
2,446,Undirected
9,447,Undirected
2,448,Undirected
9,449,Undirected
4,450,Undirected
4,451,Undirected
4,452,Undirected
4,453,Undirected
2,454,Undirected
2,455,Undirected
4,456,Undirected
4,457,Undirected
4,458,Undirected
4,459,Undirected
4,460,Undirected
6,461,Undirected
8,462,Undirected
8,463,Undirected
8,464,Undirected
12,465,Undirected
4,466,Undirected
4,467,Undirected
4,468,Undirected
9,469,Undirected
10,470,Undirected
9,471,Undirected
9,472,Undirected
4,473,Undirected
4,474,Undirected
9,475,Undirected
9,476,Undirected
2,477,Undirected
9,478,Undirected
9,479,Undirected
9,480,Undirected
9,481,Undirected
2,482,Undirected
13,483,Undirected
13,484,Undirected
2,485,Undirected
9,486,Undirected
9,487,Undirected
14,488,Undirected
15,489,Undirected
9,490,Undirected
9,491,Undirected
2,492,Undirected
9,493,Undirected
9,494,Undirected
2,495,Undirected
12,496,Undirected
12,497,Undirected
15,498,Undirected
14,499,Undirected
2,500,Undirected
12,501,Undirected
12,502,Undirected
12,503,Undirected
16,427,Undirected
15,504,Undirected
15,505,Undirected
2,506,Undirected
9,507,Undirected
10,508,Undirected
2,509,Undirected
2,510,Undirected
12,511,Undirected
12,512,Undirected
17,499,Undirected
2,513,Undirected
13,514,Undirected
17,515,Undirected
13,516,Undirected
9,517,Undirected
9,518,Undirected
9,519,Undirected
13,520,Undirected
13,521,Undirected
2,522,Undirected
12,523,Undirected
12,524,Undirected
12,525,Undirected
2,526,Undirected
2,527,Undirected
2,528,Undirected
2,529,Undirected
13,310,Undirected
18,530,Undirected
15,531,Undirected
16,532,Undirected
16,533,Undirected
9,534,Undirected
9,535,Undirected
9,536,Undirected
9,537,Undirected
9,538,Undirected
9,539,Undirected
12,540,Undirected
12,541,Undirected
13,542,Undirected
2,543,Undirected
2,544,Undirected
13,545,Undirected
13,546,Undirected
12,547,Undirected
7,548,Undirected
12,549,Undirected
15,550,Undirected
16,551,Undirected
14,552,Undirected
15,553,Undirected
15,554,Undirected
6,555,Undirected
6,556,Undirected
2,557,Undirected
18,558,Undirected
2,64,Undirected
17,559,Undirected
17,560,Undirected
17,561,Undirected
7,562,Undirected
7,563,Undirected
8,564,Undirected
16,565,Undirected
15,566,Undirected
10,567,Undirected
10,568,Undirected
18,569,Undirected
9,570,Undirected
18,571,Undirected
9,572,Undirected
9,573,Undirected
9,574,Undirected
18,575,Undirected
9,576,Undirected
9,577,Undirected
9,578,Undirected
12,579,Undirected
12,580,Undirected
9,581,Undirected
9,582,Undirected
9,583,Undirected
9,584,Undirected
10,585,Undirected
10,586,Undirected
12,587,Undirected
13,588,Undirected
13,589,Undirected
7,590,Undirected
12,591,Undirected
2,592,Undirected
2,593,Undirected
9,594,Undirected
9,595,Undirected
2,596,Undirected
15,597,Undirected
14,598,Undirected
2,599,Undirected
10,600,Undirected
10,601,Undirected
9,602,Undirected
9,603,Undirected
9,604,Undirected
9,605,Undirected
13,606,Undirected
2,607,Undirected
13,608,Undirected
13,609,Undirected
17,610,Undirected
9,611,Undirected
9,612,Undirected
9,613,Undirected
9,614,Undirected
13,615,Undirected
17,616,Undirected
12,617,Undirected
12,618,Undirected
12,619,Undirected
12,620,Undirected
14,621,Undirected
16,622,Undirected
16,623,Undirected
12,624,Undirected
12,625,Undirected
18,626,Undirected
15,627,Undirected
15,628,Undirected
16,628,Undirected
13,214,Undirected
17,629,Undirected
17,630,Undirected
17,631,Undirected
15,632,Undirected
17,633,Undirected
17,634,Undirected
16,635,Undirected
14,636,Undirected
16,637,Undirected
17,638,Undirected
17,639,Undirected
10,640,Undirected
10,641,Undirected
17,642,Undirected
15,643,Undirected
14,644,Undirected
16,645,Undirected
17,646,Undirected
17,647,Undirected
17,648,Undirected
15,321,Undirected
17,644,Undirected
17,649,Undirected
18,650,Undirected
18,651,Undirected
17,652,Undirected
17,653,Undirected
17,654,Undirected
17,655,Undirected
2,656,Undirected
15,657,Undirected
18,658,Undirected
2,659,Undirected
17,660,Undirected
2,661,Undirected
14,662,Undirected
16,663,Undirected
17,664,Undirected
17,665,Undirected
17,666,Undirected
2,667,Undirected
17,668,Undirected
17,669,Undirected
17,670,Undirected
17,671,Undirected
17,672,Undirected
17,673,Undirected
17,674,Undirected
17,675,Undirected
17,676,Undirected
16,677,Undirected
18,678,Undirected
18,679,Undirected
15,680,Undirected
2,681,Undirected
14,682,Undirected
16,682,Undirected
17,683,Undirected
17,684,Undirected
17,685,Undirected
17,686,Undirected
17,687,Undirected
17,688,Undirected
17,689,Undirected
19,690,Undirected
17,691,Undirected
17,623,Undirected
20,692,Undirected
19,693,Undirected
18,694,Undirected
18,695,Undirected
16,696,Undirected
20,593,Undirected
17,697,Undirected
17,698,Undirected
12,699,Undirected
19,700,Undirected
17,701,Undirected
20,702,Undirected
21,703,Undirected
12,704,Undirected
2,705,Undirected
19,706,Undirected
19,707,Undirected
17,708,Undirected
22,529,Undirected
17,709,Undirected
13,710,Undirected
20,711,Undirected
20,712,Undirected
17,713,Undirected
17,714,Undirected
20,543,Undirected
20,715,Undirected
20,544,Undirected
12,716,Undirected
18,717,Undirected
16,718,Undirected
18,719,Undirected
16,720,Undirected
23,721,Undirected
17,722,Undirected
13,723,Undirected
17,724,Undirected
2,725,Undirected
2,726,Undirected
14,727,Undirected
15,728,Undirected
2,729,Undirected
2,730,Undirected
23,731,Undirected
18,732,Undirected
18,733,Undirected
4,734,Undirected
4,735,Undirected
4,736,Undirected
4,737,Undirected
17,738,Undirected
17,739,Undirected
4,740,Undirected
17,741,Undirected
17,742,Undirected
4,743,Undirected
4,744,Undirected
17,745,Undirected
20,667,Undirected
12,746,Undirected
19,747,Undirected
19,748,Undirected
19,749,Undirected
4,750,Undirected
4,751,Undirected
4,752,Undirected
19,753,Undirected
19,754,Undirected
19,755,Undirected
17,756,Undirected
19,757,Undirected
17,758,Undirected
12,759,Undirected
19,760,Undirected
20,761,Undirected
20,762,Undirected
19,763,Undirected
19,764,Undirected
18,765,Undirected
18,766,Undirected
21,767,Undirected
21,768,Undirected
17,769,Undirected
17,770,Undirected
17,771,Undirected
4,772,Undirected
4,773,Undirected
4,774,Undirected
4,775,Undirected
4,776,Undirected
7,777,Undirected
20,778,Undirected
12,779,Undirected
12,780,Undirected
19,781,Undirected
12,782,Undirected
8,783,Undirected
21,784,Undirected
7,531,Undirected
19,785,Undirected
19,786,Undirected
21,787,Undirected
7,788,Undirected
7,789,Undirected
21,790,Undirected
21,791,Undirected
21,792,Undirected
13,793,Undirected
4,794,Undirected
4,795,Undirected
2,796,Undirected
7,797,Undirected
21,798,Undirected
7,799,Undirected
7,800,Undirected
13,801,Undirected
17,802,Undirected
13,803,Undirected
12,804,Undirected
12,805,Undirected
12,806,Undirected
19,807,Undirected
4,808,Undirected
8,809,Undirected
21,810,Undirected
19,811,Undirected
19,812,Undirected
4,813,Undirected
12,814,Undirected
4,815,Undirected
7,816,Undirected
7,817,Undirected
12,818,Undirected
12,819,Undirected
7,820,Undirected
7,821,Undirected
19,822,Undirected
12,823,Undirected
21,824,Undirected
21,825,Undirected
21,826,Undirected
19,827,Undirected
4,828,Undirected
21,45,Undirected
21,829,Undirected
21,346,Undirected
21,830,Undirected
7,831,Undirected
7,758,Undirected
7,832,Undirected
7,833,Undirected
7,834,Undirected
7,835,Undirected
7,836,Undirected
21,837,Undirected
7,838,Undirected
20,839,Undirected
20,114,Undirected
7,840,Undirected
21,841,Undirected
21,842,Undirected
8,843,Undirected
7,844,Undirected
12,845,Undirected
12,846,Undirected
12,847,Undirected
7,848,Undirected
7,849,Undirected
7,850,Undirected
21,850,Undirected
21,851,Undirected
7,802,Undirected
7,852,Undirected
22,446,Undirected
7,853,Undirected
3,616,Undirected
3,610,Undirected
3,824,Undirected
7,854,Undirected
7,855,Undirected
7,856,Undirected
7,857,Undirected
20,143,Undirected
20,858,Undirected
21,859,Undirected
7,860,Undirected
7,554,Undirected
12,861,Undirected
3,862,Undirected
21,863,Undirected
7,864,Undirected
12,865,Undirected
12,866,Undirected
19,867,Undirected
22,868,Undirected
22,869,Undirected
12,870,Undirected
13,871,Undirected
13,872,Undirected
7,873,Undirected
7,874,Undirected
7,875,Undirected
20,876,Undirected
19,877,Undirected
12,878,Undirected
19,879,Undirected
20,880,Undirected
20,881,Undirected
4,882,Undirected
12,883,Undirected
4,884,Undirected
4,885,Undirected
4,886,Undirected
4,887,Undirected
4,888,Undirected
4,889,Undirected
24,163,Undirected
24,890,Undirected
24,891,Undirected
12,892,Undirected
12,893,Undirected
17,894,Undirected
17,895,Undirected
17,896,Undirected
25,71,Undirected
25,897,Undirected
1,898,Undirected
21,899,Undirected
21,900,Undirected
21,901,Undirected
24,67,Undirected
1,902,Undirected
1,903,Undirected
3,904,Undirected
24,96,Undirected
24,905,Undirected
19,906,Undirected
7,907,Undirected
7,908,Undirected
7,909,Undirected
7,910,Undirected
7,911,Undirected
7,912,Undirected
7,913,Undirected
20,914,Undirected
20,915,Undirected
24,162,Undirected
24,916,Undirected
1,917,Undirected
1,918,Undirected
1,919,Undirected
20,920,Undirected
20,921,Undirected
21,922,Undirected
21,923,Undirected
7,924,Undirected
3,925,Undirected
19,926,Undirected
19,927,Undirected
12,928,Undirected
20,929,Undirected
20,930,Undirected
7,931,Undirected
20,492,Undirected
3,771,Undirected
24,932,Undirected
1,933,Undirected
1,934,Undirected
1,935,Undirected
1,936,Undirected
12,937,Undirected
1,938,Undirected
1,939,Undirected
1,940,Undirected
1,941,Undirected
1,942,Undirected
1,494,Undirected
1,943,Undirected
1,944,Undirected
1,945,Undirected
1,946,Undirected
12,947,Undirected
20,948,Undirected
20,949,Undirected
20,950,Undirected
19,951,Undirected
24,952,Undirected
25,952,Undirected
25,953,Undirected
20,954,Undirected
20,955,Undirected
7,956,Undirected
7,957,Undirected
21,958,Undirected
21,959,Undirected
24,960,Undirected
24,427,Undirected
7,961,Undirected
20,962,Undirected
20,963,Undirected
20,964,Undirected
20,965,Undirected
20,966,Undirected
3,967,Undirected
20,968,Undirected
1,969,Undirected
1,970,Undirected
7,971,Undirected
25,972,Undirected
20,973,Undirected
24,974,Undirected
25,571,Undirected
7,975,Undirected
20,976,Undirected
25,977,Undirected
26,978,Undirected
26,979,Undirected
27,980,Undirected
26,330,Undirected
27,981,Undirected
3,508,Undirected
25,982,Undirected
25,983,Undirected
25,984,Undirected
25,985,Undirected
24,986,Undirected
25,530,Undirected
25,987,Undirected
19,988,Undirected
24,989,Undirected
24,562,Undirected
25,590,Undirected
25,990,Undirected
24,351,Undirected
24,470,Undirected
25,991,Undirected
25,992,Undirected
25,993,Undirected
25,994,Undirected
24,995,Undirected
25,766,Undirected
25,996,Undirected
24,600,Undirected
25,997,Undirected
26,321,Undirected
25,998,Undirected
24,321,Undirected
7,999,Undirected
7,1000,Undirected
7,1001,Undirected
24,680,Undirected
20,1002,Undirected
20,1003,Undirected
25,1004,Undirected
25,630,Undirected
24,586,Undirected
25,1005,Undirected
24,1006,Undirected
24,113,Undirected
20,1007,Undirected
20,1008,Undirected
20,1009,Undirected
26,1010,Undirected
26,1011,Undirected
26,1012,Undirected
26,1013,Undirected
20,1014,Undirected
20,1015,Undirected
26,1016,Undirected
27,1017,Undirected
26,1018,Undirected
25,911,Undirected
25,694,Undirected
26,84,Undirected
26,82,Undirected
26,1019,Undirected
25,1020,Undirected
24,1021,Undirected
24,1022,Undirected
24,1023,Undirected
24,1024,Undirected
26,1025,Undirected
26,1026,Undirected
12,1027,Undirected
12,1028,Undirected
19,1029,Undirected
25,1030,Undirected
25,1031,Undirected
26,1032,Undirected
25,1033,Undirected
25,1034,Undirected
26,67,Undirected
26,1035,Undirected
27,1036,Undirected
26,1037,Undirected
26,346,Undirected
27,904,Undirected
26,900,Undirected
26,1038,Undirected
26,1039,Undirected
26,1040,Undirected
25,1041,Undirected
24,1042,Undirected
26,1043,Undirected
26,1044,Undirected
26,1045,Undirected
26,388,Undirected
26,71,Undirected
26,289,Undirected
26,322,Undirected
24,1046,Undirected
20,1047,Undirected
20,1048,Undirected
24,1049,Undirected
25,1050,Undirected
27,125,Undirected
26,1023,Undirected
26,1051,Undirected
24,1052,Undirected
24,1053,Undirected
26,1052,Undirected
27,1054,Undirected
27,1055,Undirected
26,1024,Undirected
27,132,Undirected
24,816,Undirected
24,1056,Undirected
26,1057,Undirected
26,1058,Undirected
26,1059,Undirected
26,1060,Undirected
26,849,Undirected
26,816,Undirected
28,1061,Undirected
24,1062,Undirected
25,1063,Undirected
24,849,Undirected
24,907,Undirected
27,709,Undirected
27,1064,Undirected
26,1065,Undirected
28,68,Undirected
24,331,Undirected
24,1066,Undirected
25,1067,Undirected
24,848,Undirected
25,848,Undirected
26,1068,Undirected
13,61,Undirected
26,1069,Undirected
26,1070,Undirected
26,1071,Undirected
26,1072,Undirected
26,1073,Undirected
26,1074,Undirected
26,860,Undirected
26,1075,Undirected
26,1076,Undirected
26,162,Undirected
26,163,Undirected
27,616,Undirected
26,427,Undirected
27,228,Undirected
27,254,Undirected
26,1077,Undirected
26,1078,Undirected
26,1079,Undirected
26,1080,Undirected
26,1081,Undirected
26,836,Undirected
26,1082,Undirected
26,1083,Undirected
26,1084,Undirected
26,1085,Undirected
26,1086,Undirected
26,831,Undirected
28,50,Undirected
26,1087,Undirected
26,1088,Undirected
26,1089,Undirected
24,1090,Undirected
25,1091,Undirected
24,1092,Undirected
25,1093,Undirected
25,650,Undirected
25,1094,Undirected
25,1095,Undirected
26,1096,Undirected
20,1097,Undirected
20,1098,Undirected
13,1099,Undirected
13,1100,Undirected
28,84,Undirected
28,1101,Undirected
13,1101,Undirected
28,702,Undirected
13,417,Undirected
28,448,Undirected
26,1102,Undirected
26,971,Undirected
20,1103,Undirected
20,1104,Undirected
20,1105,Undirected
20,360,Undirected
13,60,Undirected
13,77,Undirected
28,1048,Undirected
13,1106,Undirected
26,1107,Undirected
26,1108,Undirected
27,499,Undirected
26,351,Undirected
13,171,Undirected
28,113,Undirected
13,1109,Undirected
13,1110,Undirected
13,1111,Undirected
26,789,Undirected
13,1112,Undirected
28,1113,Undirected
28,1114,Undirected
28,67,Undirected
13,63,Undirected
29,391,Undirected
28,1115,Undirected
13,1116,Undirected
28,96,Undirected
28,62,Undirected
26,1117,Undirected
13,52,Undirected
26,960,Undirected
13,147,Undirected
26,1118,Undirected
26,1119,Undirected
28,1120,Undirected
28,1121,Undirected
13,57,Undirected
9,1122,Undirected
9,1123,Undirected
9,1124,Undirected
11,1125,Undirected
28,1126,Undirected
13,1126,Undirected
28,74,Undirected
13,1127,Undirected
13,131,Undirected
27,977,Undirected
13,1128,Undirected
13,1129,Undirected
28,1130,Undirected
9,1131,Undirected
29,1132,Undirected
29,1133,Undirected
9,1134,Undirected
9,1135,Undirected
9,1136,Undirected
26,1137,Undirected
26,1138,Undirected
26,1139,Undirected
28,703,Undirected
11,1140,Undirected
11,1141,Undirected
11,1142,Undirected
13,99,Undirected
28,814,Undirected
13,218,Undirected
11,1143,Undirected
11,1144,Undirected
13,146,Undirected
13,144,Undirected
11,1145,Undirected
28,1146,Undirected
28,1147,Undirected
13,1148,Undirected
28,46,Undirected
29,1149,Undirected
29,1150,Undirected
13,1151,Undirected
11,223,Undirected
11,1152,Undirected
11,1153,Undirected
11,1154,Undirected
11,1155,Undirected
11,1156,Undirected
11,1157,Undirected
29,1158,Undirected
13,115,Undirected
13,127,Undirected
28,1159,Undirected
28,1160,Undirected
28,331,Undirected
28,1161,Undirected
13,1162,Undirected
11,1163,Undirected
11,1164,Undirected
11,1165,Undirected
11,1166,Undirected
11,725,Undirected
11,1167,Undirected
29,1168,Undirected
9,1169,Undirected
9,1170,Undirected
9,1171,Undirected
29,1052,Undirected
28,1052,Undirected
28,1172,Undirected
13,1173,Undirected
13,1174,Undirected
28,163,Undirected
28,1175,Undirected
29,1176,Undirected
28,633,Undirected
28,1177,Undirected
28,770,Undirected
28,1178,Undirected
29,1179,Undirected
13,1180,Undirected
28,1181,Undirected
29,228,Undirected
28,1182,Undirected
28,616,Undirected
11,1183,Undirected
9,1184,Undirected
11,1185,Undirected
11,1186,Undirected
11,1187,Undirected
11,1188,Undirected
28,1189,Undirected
11,1190,Undirected
11,84,Undirected
11,1191,Undirected
29,552,Undirected
29,636,Undirected
28,1192,Undirected
11,1193,Undirected
11,1194,Undirected
11,1195,Undirected
11,64,Undirected
11,1196,Undirected
9,1197,Undirected
9,1198,Undirected
9,1199,Undirected
9,1200,Undirected
9,1201,Undirected
9,1202,Undirected
11,1203,Undirected
11,1204,Undirected
11,1205,Undirected
11,1115,Undirected
11,1116,Undirected
9,1206,Undirected
9,1207,Undirected
9,1208,Undirected
9,1209,Undirected
11,1210,Undirected
13,1211,Undirected
13,190,Undirected
11,1212,Undirected
11,1213,Undirected
11,1214,Undirected
11,418,Undirected
11,1215,Undirected
29,1216,Undirected
29,531,Undirected
11,1217,Undirected
11,1218,Undirected
11,1219,Undirected
11,1220,Undirected
29,952,Undirected
28,1221,Undirected
29,769,Undirected
11,1222,Undirected
9,1223,Undirected
11,1224,Undirected
11,527,Undirected
11,702,Undirected
11,1225,Undirected
28,1226,Undirected
11,1227,Undirected
22,1228,Undirected
19,1229,Undirected
11,700,Undirected
19,1230,Undirected
19,1231,Undirected
11,1101,Undirected
11,1232,Undirected
9,1233,Undirected
9,1234,Undirected
9,1235,Undirected
29,1236,Undirected
29,470,Undirected
30,1237,Undirected
31,862,Undirected
32,1238,Undirected
11,1239,Undirected
11,1240,Undirected
11,1077,Undirected
19,1241,Undirected
19,1242,Undirected
1,1243,Undirected
1,1244,Undirected
27,1245,Undirected
19,1246,Undirected
19,1247,Undirected
19,1248,Undirected
19,1249,Undirected
22,1250,Undirected
19,1251,Undirected
19,1252,Undirected
11,1253,Undirected
11,1254,Undirected
31,1255,Undirected
31,1132,Undirected
33,831,Undirected
27,1256,Undirected
34,1257,Undirected
30,1258,Undirected
34,1253,Undirected
30,1259,Undirected
32,1260,Undirected
27,508,Undirected
32,1261,Undirected
30,1262,Undirected
23,1263,Undirected
30,1264,Undirected
23,1265,Undirected
27,654,Undirected
11,814,Undirected
1,1266,Undirected
19,1267,Undirected
22,1268,Undirected
30,1269,Undirected
30,1270,Undirected
23,784,Undirected
30,331,Undirected
34,1271,Undirected
19,1272,Undirected
19,1273,Undirected
30,1274,Undirected
23,1275,Undirected
23,1276,Undirected
27,1277,Undirected
27,636,Undirected
23,1278,Undirected
30,1279,Undirected
12,1280,Undirected
12,1281,Undirected
27,698,Undirected
23,1282,Undirected
27,1283,Undirected
32,798,Undirected
30,1284,Undirected
33,1285,Undirected
30,1286,Undirected
32,1287,Undirected
31,952,Undirected
22,1288,Undirected
19,1289,Undirected
27,1290,Undirected
27,672,Undirected
27,629,Undirected
27,745,Undirected
27,1291,Undirected
30,1292,Undirected
27,1221,Undirected
27,1293,Undirected
33,530,Undirected
30,1294,Undirected
33,985,Undirected
32,1295,Undirected
27,771,Undirected
27,1296,Undirected
32,1297,Undirected
27,770,Undirected
31,817,Undirected
27,630,Undirected
30,631,Undirected
30,1298,Undirected
27,1299,Undirected
23,1300,Undirected
19,1301,Undirected
1,1302,Undirected
27,1303,Undirected
27,896,Undirected
33,1304,Undirected
23,1305,Undirected
23,565,Undirected
23,1306,Undirected
30,1307,Undirected
33,1072,Undirected
27,1308,Undirected
27,1309,Undirected
23,1310,Undirected
34,904,Undirected
27,633,Undirected
27,634,Undirected
35,1062,Undirected
1,1311,Undirected
1,1312,Undirected
1,1313,Undirected
27,1314,Undirected
30,1315,Undirected
32,1316,Undirected
27,1317,Undirected
30,1318,Undirected
34,1319,Undirected
30,1320,Undirected
23,622,Undirected
33,626,Undirected
35,1321,Undirected
32,1322,Undirected
23,1323,Undirected
23,1324,Undirected
30,1325,Undirected
32,1045,Undirected
30,1326,Undirected
23,1327,Undirected
30,1049,Undirected
30,1328,Undirected
32,1329,Undirected
33,991,Undirected
33,994,Undirected
